Office Notarial;Adresse;Code postal;Ville;Ville d'întérêt;Département;Mail;Notaires Associés;Notaires Salariés;Nb Associés;Nb Salariés;Service Négo
Me M. ROBERT;;56650;INZINZAC LOCHRIST;Non;Morbihan (56);;Me M. ROBERT;-;1;0;Non
SELARL DALILA CARO, NOTAIRE;;56650;INZINZAC LOCHRIST;Non;Morbihan (56);;Me Dalila CARO;-;1;0;Oui
SCP Pierik ANDRE et Florent BRANELLEC;;35150;JANZE;Non;Ille-et-Vilaine (35);;Me Pierik ANDRE, Me Florent BRANELLEC;Me Stéphanie CHARRON, Me Charlène ERMINE;2;2;Oui
SARL Magali TUR-ATHIEL et Fanny LE HER COIFFEC;;56700;KERVIGNAC;Non;Morbihan (56);;Me Fanny LE HER COIFFEC, Me Magali TUR-ATHIEL;-;2;0;Oui
Me Bérénice CLARIN;;35590;L'HERMITAGE;Non;Ille-et-Vilaine (35);;Me Bérénice CLARIN;-;1;0;Oui
SAS NOT'ATLANTIQUE SASSIER;;44500;LA BAULE ESCOUBLAC;Oui;Loire-Atlantique (44);;Me Pierre SASSIER;-;1;0;Non
SELAS VH 15 NOTAIRES - PARIS LA BAULE;;44500;LA BAULE ESCOUBLAC;Oui;Loire-Atlantique (44);;Me Marc FRIEDRICH;-;1;0;Non
SARL Clémence DUFOUR;;44500;LA BAULE ESCOUBLAC;Oui;Loire-Atlantique (44);;Me Clémence DUFOUR;Me Géraldine DUCHATELLE;1;1;Non
SELARL Lucile ESSIRARD, NOTAIRE ASSOCIÉE;;44500;LA BAULE ESCOUBLAC;Oui;Loire-Atlantique (44);;Me Lucile ESSIRARD;-;1;0;Non
SCP Notaires Presqu'île associés;;44500;LA BAULE ESCOUBLAC;Oui;Loire-Atlantique (44);;Me Jean-Vincent LUCAS, Me Frédéric PHAN THANH, Me Eric SIMON-MICHEL, Me Philippe TABOURDEAU-CARPENTIER, Me Christophe VIGUIER;Me Maud CORDUAN, Me Christelle COSSADE, Me Marina SARRAZIN, Me Alban VU DINH;5;4;Oui
SARL TREILLARD et Associés, Notaires;;44503;LA BAULE ESCOUBLAC;Oui;Loire-Atlantique (44);;Me Pierre-André TREILLARD, Me Marie VINET-TREILLARD;Me Anne-Gaëlle DHONNEUR, Me Jérôme PLANQUE;2;2;Oui
SARL CAP NOTAIRES;;35520;LA CHAPELLE DES FOUGERETZ;Non;Ille-et-Vilaine (35);;Me Emmanuelle CROSSOIR, Me Gwénaëlle KOMAROFF-BOULCH;Me Julie TAHON;2;1;Oui
SELAS Philippe BRETIN;;44240;LA CHAPELLE SUR ERDRE;Non;Loire-Atlantique (44);;Me Philippe BRETIN;Me Elise GRONDIN;1;1;Non
SELAS OFFICE DU CARRÉ-NOTAIRES RIVES DE L'ERDRE;;44240;LA CHAPELLE SUR ERDRE;Non;Loire-Atlantique (44);;Me Julie LECUYER-LIRET;-;1;0;Non
SELARL Marie-Alix LENGLART-LE BEC, Antoine TEITGEN et Matthieu GENTILS;;44243;LA CHAPELLE SUR ERDRE CX;Non;Loire-Atlantique (44);;Me Matthieu GENTILS, Me Antoine TEITGEN;Me Margaux PIERRE-BRUNNER;2;1;Oui
SARL Anne-Claire BLOCK, notaire;;44118;LA CHEVROLIERE;Non;Loire-Atlantique (44);;Me Anne-Claire BLOCK;-;1;0;Non
Me Julie LE FLOCH;;56204;LA GACILLY;Non;Morbihan (56);;Me Julie LE FLOCH;-;1;0;Oui
SELARL Pascal ODY et Corentine ODY-AUDRAIN;;35130;LA GUERCHE DE BRETAGNE;Non;Ille-et-Vilaine (35);;Me Pascal ODY, Me Corentine ODY-AUDRAIN;-;2;0;Oui
